text	dom	type
['来碗杨胃的走吧。']	1	1
['天猫精灵要我皮蛋碎肉捏粥。']	1	1
['天猫精灵.']	0	1
['天猫精灵来碗红豆薏米养胃粥吧。']	1	1
['天猫精灵药碗山药青菜养生粥吧。']	1	1
['来碗热乎南瓜杨胃粥。']	1	1
['我想听安尔晨的人生自古谁无情。']	0	1
['14乘以0.4等于多少？']	0	1
['天猫精灵播播放一首邝美云的堆积情感。']	0	1
['天猫精灵你唱个小跳蛙吧。']	0	1
['天猫精灵喜欢人是什么感觉？']	0	1
['天猫精灵木耳炒肉片来一份。']	1	1
['天猫精灵1.9722乘以7.2。']	0	1
['天猫精灵162除以5等于多少？']	0	1
['天猫精灵我你刚刚是被P麦了吗？']	0	1
['天猫精灵，我想听周深的一燃易。']	0	1
['我想看大然坊絮。']	0	1
['天我再边声音到85，声音到85。']	0	1
['天猫精点。😊']	0	1
['天猫精灵来碗番茄面疙瘩汤吧。']	1	1
['天猫精灵歌曲别看我只是一只羊。']	0	1
['来碗热乎的皮带。']	1	1
['天猫精灵来碗茶树菇老鸭汤面。']	1	1
['天猫精灵要个香辣手撕包菜吧。']	1	1
['天猫精灵来份豆角肉丝小炒吧。']	1	1
['什么等于617加45等于几？']	0	1
['天猫精灵2160乘以8。']	0	1
['天猫精灵来份热乎里砂锅丸子，炖小白菜吧。']	1	1
['天猫精灵来份酸锣卜炖老汤。']	1	1
['刘，我在107加10等于多少？']	0	1
['天猫精灵16.8乘25.2等于多少？']	0	1
['我要上大他的城市飞车。']	0	1
['点个红彩苔小草。']	1	1
['天猫精灵1万38万888888881加1万8000亿等于多少？']	0	1
['天猫精灵播放不遍放屁的声音。']	0	1
['🎼天猫精灵啊，我在你说14减7加5等于多少？']	0	1
['黄瓜炒香菇可以带午餐盒吗？']	0	1
['天猫精灵我想放周深的小管我。😊']	0	1
['天猫精灵来碗鸡肉玉米养生粥吧。']	1	1
['天猫精灵请我播放公司的声音。']	0	1
['天猫精灵要碗热乎的皮蛋瘦肉粥吧。']	1	1
['天猫精灵要碗红枣红豆不蟹粥吧。']	1	1
['天猫精灵15减6除以3等于几？']	0	1
['🎼我想听胡彦斌的望客匆风。']	0	1
['天猫精灵要个韭房肉丝小炒吧。']	1	1
['天猫精灵来粉家常小草发财吧。']	1	1
['天猫精灵人是怎么我宝粑的？😊']	0	1
['天猫精灵12乘以6.1等于多少？']	0	1
['天猫精灵关闭米小圈的那个报时。']	0	1
['天猫精灵是阿里巴巴人工智能实验室于2017年7月5日发布的AI智能产品品牌。但。']	0	1
['天猫精灵来碗红枣银耳热胡粥吧。']	1	1
['天猫精灵要碗山药几丝养胃粥吧。']	1	1
['天猫精灵遥望五国海密粥。']	1	1
['精万雷奥特曼的声音。']	0	1
['天猫精灵请播送六字大明咒。']	0	1
['二人す。']	0	1
['你的你功能太少了，我一点都不喜欢你了。']	0	1
['天猫精灵刚才的故事继续走下去。']	0	1
['好漂亮啊，天猫精灵哦，又服好漂亮都穿喽。']	0	1
['天猫精灵合同履约成本和合同取得成本有什么区别？']	0	1
['天猫精灵来份芹菜土豆丝吧。']	1	1
['天猫精灵要碗暖性红豆粥扒。']	1	1
['天猫精灵播放工程车啊，不对，播放挖掘机。']	0	1
['来份家常大拌菜试试。']	1	1
['天猫精灵来碗热乎的紫菜蛋化汤。']	1	1
['天猫精灵播放厦门大学易中天。']	0	1
['天猫精灵来玩红豆海米养生粥吧。']	1	1
['天猫精灵来份青椒肉丝。']	1	1
['猫精灵播放下那个。']	0	1
['天猫精灵来粉部须肉炒菜大米饭吧。']	1	1
['天猫精灵连接我的iphone。']	0	1
['天猫精灵要个西红柿炒蛋吗？']	1	1
['天猫精灵来碗热乎的西红柿鸡蛋汤面吧。']	1	1
['天猫精灵请重新给我播放我刚刚听的东西。']	0	1
['天猫精灵来份西红柿鸡蛋浇头饭。']	1	1
['天猫精灵来份花生黑米养胃粥吧，养胃的。']	1	1
['天猫精灵来碗鹌鹑蛋香菇肉丝汤吧。']	1	1
['天猫精灵播放我的网易云音乐。']	0	1
['天猫精灵0.914乘12等于多少？']	0	1
['天猫精灵两2000乘2000等于多少？']	0	1
['天猫精灵来份爆炒手撕包菜吧。']	1	1
['天猫精灵，你认不认识小爱同学？']	0	1
['天猫精灵，你还能不能播放一些声音？']	0	1
['天猫精灵，你你咋没有你咋没有手了？']	0	1
['天猫精灵，我想听张国威的生气。']	0	1
['天猫精播放队的小跳蛙。']	0	1
['天猫精灵咸鱼头炖豆腐汤来一份热乎的。']	1	1
['天猫精灵青椒炒蛋来一份。']	1	1
['放一首王心凌的我会滑宝的。']	0	1
['天猫精灵74.9乘以2等于多少？']	0	1
['天猫精灵要个芹菜木耳小炒。']	1	1
['天猫精灵47减35等于几？']	0	1
['来碗外婆秘制的八宝甜粥吧。']	1	1
['天猫精灵点份黄金皮蛋瘦肉做吧。']	1	1
['天猫精灵帮播放一首毛阿敏的渴望。']	0	1
['天猫精灵来份西兰花香菇小炒。']	1	1
['天猫精灵来碗香菇老鸭热烫。']	1	1
['天猫精灵3600除以1600。']	0	1
['天猫精灵来往3月入木走吧。']	1	1
['天猫精灵来份清爽西脸花小草吧。']	1	1
['天猫精灵来份胡萝卜肉丝小炒吧。']	1	1
['天猫精灵700除以3等于多少？']	0	1
['天猫精灵来碗热火的皮蛋瘦肉粥。']	1	1
['天猫紧邻腰腕乱威的小蜜南瓜肘吧。']	1	1
